#;Название;Категории;Сайт;Email;Адрес;Широта;Долгота;Телефоны;Тип;Время работы;Информация;Цвет;Оплачена;Исключена из ЛК
1508288;Твой доктор;Аптеки;;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 135Б;54.509423;37.117786;+7 (48753) 6-42-67;org;;;;Нет;Нет
1508289;Home Market;Супермаркеты и гипермаркеты;;;Тульская обл., Алексин г., ул. Тульская, 131;54.509996;37.115926;8 (800) 770 70 76;org;ежедневно, 9:00-19:00;;;Нет;Нет
1508290;Свято-Никольский храм;Церкви, храмы, монастыри;;;Тульская обл., Алексинский р-н, Алексин г., ул. Советская, 43;54.5135;37.094447;+7 (48753) 6-09-88;org;;;;Нет;Нет
1508291;Стальные двери Контур;Двери;http://www.dveri-kontur.ru;;Тульская обл., Алексин, ул. Тульская, 136д;54.508059;37.116402;+7 (48753) 6-61-53, +7 (920) 773-91-38, +7 (48753) 6-46-55;org;ежедневно, 9:00-18:00;;;Нет;Нет
1508292;Старая мельница;"Кафе; Бани и сауны; Банкеты";;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 123;54.511159;37.111093;+7 (48753) 6-20-65,  +7(48753)64787;org;;;;Нет;Нет
1508293;Юнистрим;Другое;http://www.unistream.ru;;Тульская обл., Алексин г., ул. Тульская, 135б;54.5091;37.1175;+7 (495) 777-55-45, 8 (800) 333-22-44;org;ежедневно, 8:00-22:00;;;Нет;Нет
1508294;Церковь Николая Чудотворца в Алексине;Церкви, храмы, монастыри;http://www.nikolski-hram.ru/;aleksin@nikolski-hram.ru;Тульская обл., Алексин г., ул. Советская, 43;54.513501;37.094544;+7 (48753) 6-09-88;org;;;;Нет;Нет
1508295;Лидер;Другое;http://www.leadermt.ru;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 135б;54.509423;37.117786;+7 (495) 777-55-45, 8 (800) 333-44-44;org;;;;Нет;Нет
1508296;Пульт ДУ;Бытовая техника и электроника;;;Тульская обл., Алексин г., ул. Тульская, 134а, ТЦ Техномир, эт. 1;54.509293;37.114543;+7 (953) 441-97-67;org;"пн-пт 10:00-19:00; сб,вс 9:00-19:00";;;Нет;Нет
1508297;Само;Другое;http://aleksin-mag.ru;;Тульская обл., Алексин г., ул. Советская, 25;54.514509;37.091276;+7 (48753) 6-00-94, +7 (903) 843-51-15;org;пн-сб 10:00-18:00;;;Нет;Нет
1508298;Stolline;"Мягкая мебель; Корпусная мебель";http://www.stolline.ru;;Тульская обл., Алексин г., ул. Тульская, 136д;54.508045;37.116608;+7 (915) 695-94-64, +7 (915) 685-53-88;org;ежедневно, 10:00-18:00;;;Нет;Нет
1508299;Магнит;Магнит;http://www.magnit-info.ru;;Тульская обл., Алексин г., ш. Генерала Короткова, 2а;54.509179;37.120074;8 (800) 200-90-02;org;ежедневно, 7.30 до 01.00;;;Нет;Нет
1508300;Магазин Алекс-Плюс;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 134а;54.509293;37.114543;+7 (48753) 6-55-84;org;;;;Нет;Нет
1508301;Альянс Мастеров;Мягкая мебель;http://мастер-маг.рф;;Тульская обл., Алексин, ул. Тульская, 136а;54.508979;37.117022;+7 (48753) 4-32-02, +7 (48753) 6-60-66, +7 (48753) 6-07-07;org;ежедневно, 10:00-18:00;;;Нет;Нет
1508303;Квик-Техномир;Бытовая техника и электроника;http://www.kvik-tehnomir.ru;;Тульская обл., Алексин, ул. Тульская, 134а;54.509293;37.114543;+7 (48753) 6-40-32;org;"пн-пт 10:00-19:00; сб,вс 9:00-19:00";;;Нет;Нет
1508304;Свет De Luxe;Другое;;;Тульская обл., Алексин, ул. Тульская, 123б;54.510918;37.111176;+7 (48753) 6-57-50;org;ежедневно, 9:00-19:00;;;Нет;Нет
1508306;Кухонный Двор;Мебель на заказ;http://www.kuxni.net;;Тульская обл., Алексин г., ул. Тульская, 134, ТЦ Элекс Плюс, эт. 2;54.508524;37.11466;+7 (920) 270-11-11, +7 (48753) 6-55-84;org;"пн-пт 10:00-19:00; сб,вс 9:00-19:00";;;Нет;Нет
1508307;Рекламно-издательский журнал Алексин life;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Фридриха Энгельса, 10, оф. 1;54.506078;37.109827;+7 (950) 927-77-08;org;;;;Нет;Нет
1508308;Shell (2МКР);Автомобильные заправочные станции (АЗС, АГЗС);http://www.shell.com.ru;;Тульская обл., Алексин г., ш. Генерала Короткова, 2а;54.50889;37.12082;+7 (48753) 6-52-15;org;ежедневно, круглосуточно;МКР Шахтерский;;Нет;Нет
1508309;Интердизайн;Корпусная мебель;http://www.id-mebel.ru;;Тульская обл., Алексин г., ул. Тульская, 136, литера д, ТК Слобода 2;54.508059;37.116402;8 (800) 700-80-34;org;;;;Нет;Нет
1508310;РусОкна;Окна и балконы;http://rusokna71.ru;;Тульская обл., Алексин, ул. Тульская, 131а;54.509721;37.116645;+7 (48753) 6-54-30, +7 (910) 552-09-92;org;вт-сб 9:00-18:00;;;Нет;Нет
1508311;Щукарь;Охота и рыбалка;;;Тульская обл., Алексинский р-н, Алексин, ул. Тульская, 135б;54.509423;37.117786;+7 (910) 151-05-11;org;ежедневно, 10:00-19:00;;;Нет;Нет
1508312;Lambre;Другое;http://www.lambre.eu;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 137б;54.508916;37.122448;;org;;;;Нет;Нет
1508313;A-z;Другое;;;Тульская обл., Алексин г., ул. Тульская, 141, оф. 20;54.507545;37.125183;+7 (953) 180-87-13, +7 (953) 188-99-33;org;пн-сб 9:30-18:00;;;Нет;Нет
1508314;Алексинский художественно-краеведческий музей, МБУК;Музеи;;;Тульская обл., Алексинский р-н, Алексин г., ул. Советская, 38;54.513166;37.093747;+7 (48753) 6-03-74;org;;;;Нет;Нет
1508315;Будь Здоров;Аптеки;http://www.rigla.ru/about/bud_zdorov/;;Тульская обл., Алексин г., ул. Тульская, 131;54.5101;37.1148;+7 (905) 116-64-06, 8 (800) 777-03-03;org;ежедневно, круглосуточно;;;Нет;Нет
1508316;Альфа Страхование-ОМС;Страховые компании;http://alfastrahoms.ru;;Тульская обл., округ Алексин, Алексин, ш. Генерала Короткова, 4;54.509797;37.123688;8 (800) 555-10-01, +7 (48753) 6-48-23;org;"пн,вт 8:30-17:00; ср 8:30-18:00; чт,пт 8:30-17:00";;;Нет;Нет
1508317;МегаФон;Салоны связи Мегафон;http://www.megafon.ru;;Тульская обл., Алексин, ул. Тульская, 135б;54.509224;37.114747;8 (800) 550-05-00;org;ежедневно, 10:00-20:00;;;Нет;Нет
1508318;АвтоПижон;Другое;http://автопижон.рф;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 121а;54.511018;37.110563;+7 (919) 073-85-68, +7 (903) 037-78-09;org;пн-сб 9:00-19:00;;;Нет;Нет
1508319;Церковь Христиан Адвентистов Седьмого Дня;Другое;http://adventist.ru;;Тульская обл., округ Алексин, Алексин, ул. Тульская, 96;54.511734;37.104257;;org;;;;Нет;Нет
1508320;Окадом;Другое;http://oka-dom.com;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 141;54.507688;37.125188;+7 (48753) 6-40-21;org;;;;Нет;Нет
1508321;Будь Здоров;Аптеки;http://www.rigla.ru/about/bud_zdorov/;;Тульская обл., Алексин г., ул. Тульская, 132в;54.5089;37.1128;+7 (905) 116-64-17, 8 (800) 777-03-03;org;ежедневно, круглосуточно;;;Нет;Нет
1508324;Автосалон;"Страховые компании; Официальные дилеры";;;Тульская обл., Алексин г., ул. Тульская, 95а;54.512345;37.104032;+7 (915) 682-34-67;org;ежедневно, 10:00-18:00;;;Нет;Нет
1508325;АвтоМотоСервис;"Шиномонтаж; Автосервисы; Развал схождение; Автозапчасти; Запчасти на заказ";;;Тульская обл., Алексин г., ул. Тульская, 95а;54.512345;37.104032;+7 (905) 119-70-44;org;пн-сб 9:00-18:00;;;Нет;Нет
1508326;Русский займ;Ломбарды;http://lombrus.ru;;Тульская обл., Алексин, ул. Тульская, 136а;54.508979;37.117022;8 (800) 250-09-19;org;"пн-пт 9:00-18:00; сб 9:00-14:00";;;Нет;Нет
1508327;Белорусские кухни;Мебель на заказ;;;Тульская обл., Алексин г., ул. Тульская, 123б;54.510918;37.111174;+7 (487) 536-54-14;org;;;;Нет;Нет
1508328;Слобода-2, торговый комплекс;Торговые центры и торгово-развлекательные комплексы;;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 136д;54.508059;37.116402;+7 (48753) 6-68-06;org;;;;Нет;Нет
1508329;Роспечать;Роспечать;http://www.rosp.ru;;Тульская обл., Алексин г., ул. Тульская улица, 131к2;54.510918;37.115279;;org;;;;Нет;Нет
1508330;Автовокзал г. Алексин;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Короткова, 4;54.509639;37.123263;+7 (48753) 6-66-96;org;;;;Нет;Нет
1508331;Cartula;Другое;http://www.cartula.ru;;Тульская обл., Алексин, ул. Тульская, 136а;54.508979;37.117022;+7 (919) 070-98-55, +7 (909) 263-79-79;org;"пн-пт 10:00-18:00; сб 10:00-16:00";;;Нет;Нет
1508332;Уютный дом;Мягкая мебель;;;Тульская обл., Алексин г., ул. Тульская, 133, корп.2а;54.510934;37.116079;+7 (952) 016-46-41;org;пн-пт 10:00-19:00;;;Нет;Нет
1508333;Цвет Диванов;"Мягкая мебель; Интернет-магазины; Корпусная мебель";http://www.zvet.ru;;Тульская обл., округ Алексин, Алексин, ул. Тульская, 134а;54.509293;37.114543;+7 (953) 196-60-50, 8 (800) 700-77-88;org;"пн-пт 10:00-19:00; сб,вс 9:00-19:00";;;Нет;Нет
1508334;Мастер-Альянс;Другое;http://kolodec-topas.ru;;Тульская обл., Алексин, ул. Ломоносова, 6;54.508927;37.104895;+7 (920) 271-87-37;org;ежедневно, 8:00-21:00;;;Нет;Нет
1508335;Московский индустриальный банк, банкомат;Московский индустриальный банк;http://www.minbank.ru;;Тульская обл., Алексин г., ул. Тульская, 131а;54.509721;37.116645;+7 (4872) 34-14-73, 8 (800) 100-74-74;org;;;;Нет;Нет
1508336;Директория маркетинга;Консалтинг;http://counselor.ucoz.ru;;Тульская обл., Алексин г., ул. Тульская, 131;54.510072;37.114812;+7 (903) 844-71-01, +7 (915) 680-37-71;org;пн-пт 10:00-18:00;;;Нет;Нет
1508338;Евросеть;Салоны связи Евросеть;http://euroset.ru;;Тульская обл., Алексин, Тульская 131;54.510072;37.114812;8 (800) 700-00-10;org;ежедневно, 9:00-21:00;;;Нет;Нет
1508339;Столярный цех Интерьер;Мебель на заказ;http://derevorus.ru;;Тульская обл., Алексин г., ул. Тульская, 140;54.506261;37.120885;+7 (48753) 6-69-08, +7 (906) 533-00-64, +7 (953) 192-68-88;org;пн-сб 9:00-18:00;;;Нет;Нет
1508340;Компания Профстрой;"Окна и балконы; Двери";http://profstroyokna.ru;;Тульская обл., Алексин г., ул. Тульская, 136, Слобода, пав. 12А;54.508979;37.117022;+7 (906) 625-55-55;org;"пн-пт 9:00-18:00; сб 9:00-15:00";;;Нет;Нет
1508341;Фотостудия, ИП Фролов В.В.;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 133, корп.2а;54.510934;37.116079;+7 (903) 697-75-95;org;;;;Нет;Нет
1508342;ТМК;"Окна и балконы; Двери";http://tmk-okna.ru;;Тульская обл., округ Алексин, Алексин, ул. Тульская, 136а;54.508916;37.116843;8 (800) 555-93-25, +7 (920) 769-00-69;org;;;;Нет;Нет
1508343;Белорусские кухни;Мебель на заказ;;;Тульская обл., Алексин г., ул. Тульская, 136а;54.508979;37.117022;+7 (953) 955-96-57;org;;;;Нет;Нет
1508344;Дом дверей;"Мебель на заказ; Двери";;;Тульская обл., Алексин г., ул. Болотова, 2б;54.505936;37.1236;+7 (953) 958-48-84;org;ежедневно, 8:00-18:00;;;Нет;Нет
1508345;ОкнаСтрой;Окна и балконы;http://oknastroy71.ru;;Тульская обл., Алексин г., ул. Тульская, 136а;54.50828;37.116364;+7 (48753) 6-46-26;org;"пн-пт 10:00-18:00; сб 10:00-15:00";;;Нет;Нет
1508346;Еженедельная газета Перекресток;Другое;http://perekrestok71.ru;;Тульская обл., Алексин г., ул. Тульская, 134а;54.509293;37.114543;+7 (920) 776-56-85;org;пн-пт 10:00-17:00;;;Нет;Нет
1508347;Колибри;Кафе;;;Тульская обл., Алексинский р-н, Алексин г., ул. Фридриха Энгельса, 24а;54.508577;37.111704;+7 (48753) 6-61-67;org;чт-вс 12:00-2:00;;;Нет;Нет
1508348;Уютерра;"Хозтовары; Товары для дома";http://www.yuterra.ru;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 131а;54.509721;37.116645;+7 (48753) 6-20-66, +7 (48753) 6-10-60, 8 (800) 100-71-71;org;ежедневно, 9:00-21:00;;;Нет;Нет
1508349;Страховой Дом;"Страховые компании; Юридические услуги";http://www.strd71.ru;;Тульская обл., Алексин г., ул. Кутузова, 1;54.505796;37.107275;+7 (960) 614-91-11;org;"пн-пт 9:00-18:00; сб 9:00-16:00";;;Нет;Нет
1508350;Альфа страхование;Страховые компании;;;Тульская обл., Алексинский р-н, Алексин г., ш. Генерала Короткова, 4;54.509748;37.123481;+7 (48753) 6-48-04;org;пн-пт 8:30-17:00;;;Нет;Нет
1508351;Московский индустриальный банк, банкомат;Московский индустриальный банк;http://www.minbank.ru;;Тульская обл., Алексин г., ш. Генерала Короткова, 2;54.50913;37.120148;+7 (4872) 34-14-73, 8 (800) 100-74-74;org;;;;Нет;Нет
1508352;Мир печи;Другое;http://mir-pechi.net;;Тульская обл., Алексинский р-н, Алексин, 10;54.512079;37.124685;+7 (919) 411-73-90;org;ежедневно, 9:00-18:00;;;Нет;Нет
1508353;Жемчужина;Турфирмы и экскурсии;http://www.4332433.ru;;Тульская обл., Алексин, ул. Тульская, 136д, оф. 4;54.508059;37.116402;+7 (953) 433-24-33;org;пн-сб 10:00-18:00;;;Нет;Нет
1508354;Строй-Проф;Другое;http://zaborstroidom.ru;;Тульская обл., Алексин г., ул. Тульская, 136а, оф. 15;54.507496;37.11668;+7 (910) 586-51-50;org;ежедневно, 8:00-19:00;;;Нет;Нет
1508355;Western Union;Другое;http://www.westernunion.ru;;Тульская обл., Алексин г., ул. Тульская, 133, корп.2а, ФГУП Почта России;54.510934;37.116079;8 (800) 200-22-32;org;вт-вс 9:00-20:00;;;Нет;Нет
1508356;ИП Харапуд В.В.;Другое;http://www.kvmolot.ru;;Тульская обл., Алексин, ул. Ломоносова, 6;54.508927;37.104895;+7 (950) 908-00-22;org;пн-сб 9:00-18:00;;;Нет;Нет
1508357;Contact;Другое;http://www.contact-sys.com;;Тульская обл., округ Алексин, Алексин, ул. Тульская, 135б;54.509423;37.117786;+7 (495) 777-55-45, 8 (800) 200-42-42;org;ежедневно, 10:00-19:30;;;Нет;Нет
1508358;Алексинский мясокомбинат;Другое;;;Тульская обл., Алексин г., ул. Ломоносова, 8;54.507829;37.104868;+7 (48753) 6-01-46;org;пн-пт 9:00-18:00;;;Нет;Нет
1508359;Вбунырях.РФ;Другое;http://www.vbunyrevo.ru;;Тульская обл., Алексин г., ул. Дубравная, 26;54.513547;37.116321;+7 (919) 074-29-29;org;ежедневно, круглосуточно;;;Нет;Нет
1508360;Компьютерный магазин Системник;Компьютеры и оргтехника;http://sistemnik71.ru;;Тульская обл., Алексин г., ул. Энгельса, 28;54.511655;37.113366;+7 (915) 688-20-05;org;ежедневно, 10:00-18:00;;;Нет;Нет
1508361;MoneyGram;Другое;http://ru.moneygraminfo.com;;Тульская обл., Алексин г., ул. Энгельса, 28, Сбербанк;54.511655;37.113366;8 (800) 500-92-53;org;"пн-пт 9:00-18:45; сб,вс 9:00-15:00";;;Нет;Нет
1508362;Алексинский РЭС, Тульские электрические сети, филиал Тулэнерго;Другое;;;Тульская обл., Алексинский р-н, Алексин г., Мельничный пер., 1;54.506951;37.102496;+7 (48753) 6-00-68;org;;;;Нет;Нет
1508363;Отдел военного комиссариата Тульской области по г. Алексину, Алексинскому и Дубенскому районам;Военкоматы;;;Тульская обл., Алексинский р-н, Алексин г., ул. Советская, 36;54.51338;37.092813;+7 (48753) 6-03-64, +7 (48753) 6-07-35, +7 (48753) 6-30-60;org;"Обед 13:00 до 14:00
Пятница не приемный день";;;Нет;Нет
1508364;Тульская энергосбытовая компания АО ТНС ЭнергоТула, Тульское отделение, Алексинский участок;Другое;;;Тульская обл., Алексинский р-н, Алексин г., Мельничный пер., 1;54.506951;37.102496;+7 (48753) 6-22-02;org;пн-сб 8:00-17:00;;;Нет;Нет
1508365;Мастер;Другое;http://monomax.su;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 136, ТЦ Слобода;54.508979;37.117022;+7 (4872) 71-77-97, +7 (980) 720-88-88;org;пн-пт 9:00-18:00;;;Нет;Нет
1508366;ИП Цыганков А.В.;Другое;;;Тульская обл., Алексин г., ш. Генерала Короткова, 9;54.51073;37.123499;+7 (953) 967-04-41;org;ежедневно, 9:00-18:00;;;Нет;Нет
1508367;Комитет территориального общественного самоуправления 1;Администрация района;;;Тульская обл., Алексинский р-н, Алексин г., ул. Дубравная, 26;54.513547;37.116321;+7 (48753) 6-42-32;org;;;;Нет;Нет
1508368;МБУК Алексинский районный дом культуры;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Советская, 38;54.513166;37.093747;+7 (48753) 6-07-66;org;"вт-пт 9:00-18:00; сб 9:00-17:00";;;Нет;Нет
1508369;MoneyGram;Другое;http://ru.moneygraminfo.com;;Тульская обл., Алексин, ул. Тульская, 131, Евросеть;54.510072;37.114812;8 (800) 500-92-53;org;ежедневно, 9:00-20:00;;;Нет;Нет
1508370;MoneyGram;Другое;http://ru.moneygraminfo.com;;Тульская обл., Алексин, ул. Тульская, 136а, МТС;54.508979;37.117022;8 (800) 500-92-53;org;"пн-пт 9:00-20:00; сб,вс 10:00-19:00";;;Нет;Нет
1508372;Ювелирный магазин;Ювелирные магазины и мастерские;;;Тульская обл., Алексинский р-н, Алексин, ш. Генерала Короткова, 2а;54.509105;37.120085;+7 (915) 698-33-12;org;ежедневно, 10:00-19:00;;;Нет;Нет
1508374;ТД Капитал;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 35д;54.514546;37.093549;+7 (48753) 6-57-66;org;;;;Нет;Нет
1508375;Алексинский хлебокомбинат;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Кутузова, 2;54.505639;37.109827;+7 (48753) 6-04-05;org;;;;Нет;Нет
1508376;Western Union;Другое;http://www.westernunion.ru;;Тульская обл., Алексин г., ул. Тульская, 26, ФГУП Почта России;54.515152;37.091519;8 (800) 200-22-32;org;ежедневно, 8:00-21:00;;;Нет;Нет
1508377;Торговый центр Талисман в Алексине;Торговые центры и торгово-развлекательные комплексы;http://www.tc-talisman.ru/tenantry/shopping-centers-talisman/item-06.html;;Тульская обл., Алексин, ул. Тульская, 93;54.5148;37.0939;+7 (4872) 34-40-10;org;ежедневно, 9:00-20:00;;;Нет;Нет
1508378;Мото Парк;Дача, сад и огород;;;Тульская обл., Алексин, ул. Тульская, 123б;54.510918;37.111174;+7 (930) 899-43-33, +7 (930) 899-55-59;org;пн,вт,ср,пт,сб,вс 9:00-18:00;;;Нет;Нет
1508379;РИА АЛЕКСИН LIFE;Рекламные услуги;;;ул. Тульская д. 95а (территория автосервиса);54.512345;37.104032;+7 (950) 9277708, +7 (950) 9277709;org;пн-пт 9:00-18:00 (Предварительно звоните менеджеру);;;Нет;Нет
1508380;Никулинская ПМК;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Ломоносова, 6;54.508927;37.104895;+7 (48753) 6-25-78;org;;;;Нет;Нет
1508381;Универсал;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 138;54.506731;37.122089;+7 (48753) 6-55-78;org;;;;Нет;Нет
1508382;Администрация МО г. Алексин, Комитет  по  культуре, молодежи и спорту;Администрация района;;;Тульская обл., Алексинский р-н, Алексин г., ул. Пионерская, 8;54.497242;37.063959;+7 (48753) 4-41-75;org;"Перерыв на обед с 13-00 до 13-48. Выходные дни- суббота, воскресенье.
";;;Нет;Нет
1508383;Компания Мир Приборов;Другое;http://mirpriborov.com;;Тульская обл., Алексинский р-н, Алексин, ш. Генерала Короткова, 9;54.510612;37.12333;+7 (953) 967-04-41, 8 (804) 333-38-00;org;пн-пт 9:00-18:00;;;Нет;Нет
1508384;Магазин Азарт;Одежда;;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 134;54.508524;37.11466;+7 (48753) 6-55-99;org;;;;Нет;Нет
1508385;Алексинский городской суд;Суды;;aleksinsky.tula@sudrf.ru;Тульская обл., Алексинский р-н, Алексин г., ул. Смирнова, 35в;54.514849;37.09946;+7 (48753) 6-23-41, +7 (48753) 6-02-38;org;обед с 13:00-14:00;;;Нет;Нет
1508386;Радиорелейная станция Тульского ОРТПЦ, филиал, ФГУП Российская Телевизионная и Радиовещательная Сеть;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Комсомольская, 8;54.506318;37.114848;+7 (48753) 6-15-74;org;;;;Нет;Нет
1508387;Бас Люкс;Другое;http://vmoskvu.su;;Тульская обл., Алексин г., ул. Ломоносова, 6, оф. 202;54.508927;37.104895;+7 (48753) 6-28-79, +7 (906) 535-35-35;org;пн-пт 10:00-18:00;;;Нет;Нет
1508388;Viva Деньги;Другое;http://www.vivadengi.ru;;Тульская обл., Алексинский р-н, Алексин г., ул. Тульская, 136а;54.50807;37.116386;8 (800) 550-77-66;org;пн-пт 9:00-18:00;;;Нет;Нет
1508389;Дом оптики;Другое;;;Тульская обл., Алексинский р-н, Алексин, ул. Тульская, 131;54.510072;37.114812;+7 (48753) 6-40-86;org;ежедневно, 9:00-18:30;;;Нет;Нет
1508390;Грузоперевозки в Алексине;Транспорт и логистика, грузоперевозки;http://tula.barahla.net/services/204/4127309.htm;;Тульская обл., Алексин г., ул. Тульская, 141;54.507688;37.125188;+7 (960) 613-53-13;org;ежедневно, 9:00-20:00;;;Нет;Нет
1508391;Алексинское ПАТП, филиал Тулаавтотранс;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Муралова, 45;54.511117;37.097969;+7 (48753) 6-23-76;org;;;;Нет;Нет
1508392;РА Pixel;Рекламные услуги;;;Тульская обл., Алексин г., ул. Ломоносова, 6;54.508927;37.104895;+7 (920) 277-59-99;org;ежедневно, 9:00-18:00;;;Нет;Нет
1508393;Детский островок;Магазины для детей;;;Тульская обл., Алексин г., ул. Тульская, 135б;54.509423;37.117786;+7 (920) 2775971;org;ежедневно, 10:00-20:00;;;Нет;Нет
1508394;Компалекс;"Интернет-магазины; Компьютеры и оргтехника";http://www.kompaleks.ru;;Тульская обл., Алексин г., ул. Ломоносова, 6, оф. 210;54.508927;37.104895;+7 (48753) 6-00-09, +7 (953) 960-00-09;org;ежедневно, 10:00-19:00;;;Нет;Нет
1508395;Мадам Подушкина;Интернет-магазины;http://www.madam-podushkina.ru;;Тульская обл., Алексин г., ул. Тульская, 136д;54.5073;37.1204;+7 (905) 111-11-07;org;ежедневно, 9:00-17:00;;;Нет;Нет
1508396;Геоинжстрой;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Ломоносова, 6;54.508927;37.104895;+7 (48753) 6-03-27;org;;;;Нет;Нет
1508397;Comepay;Платёжный терминал Comepay;http://www.comepay.ru;;Тульская обл., Алексинский р-н, Алексин г., ш. Генерала Короткова, 2;54.508869;37.120912;8 (800) 100-80-50;org;;;;Нет;Нет
1508406;Алексинстройконструкция;Другое;http://aleksin-ask.ru;;Тульская обл., Алексин, микрорайон Алексин-4, ул. Машиностроителей, 8;54.522505;37.033146;+7 (48753) 2-60-73, 8 (800) 500-56-50, +7 (48753) 2-71-35;org;пн-пт 8:00-16:30;;;Нет;Нет
1508407;Сбербанк России;Сбербанк России;http://www.sberbank.ru;;Тульская обл., Алексин г., ул. Арматурная, 14;54.520057;37.046939;8 (800) 555-55-50, +7 (495) 500-55-50;org;"пн 15:00-17:00; вт-пт 9:15-14:00; сб 9:30-14:00; вс 15:00-17:00";;;Нет;Нет
1508408;Тульская областная стоматологическая поликлиника, ГУЗ, филиал № 3 г. Алексин;Стоматология;;;Тульская обл., Алексинский р-н, Алексин г., ул. Арматурная, 3а;54.522359;37.041716;+7 (48753) 2-30-06;org;;;;Нет;Нет
1508409;ВТБ 24, банкомат;ВТБ;http://www.vtb24.ru;;Тульская обл., Алексин г., ул. Арматурная, 17А, Дикси;54.520791;37.046334;8 (800) 100-24-24;org;;;;Нет;Нет
1508410;Сбербанк России, банкомат;Сбербанк России;http://www.sberbank.ru;;Тульская обл., Алексин г., ул. Арматурная, 14;54.51996;37.04694;8 (800) 555-55-50;org;ежедневно, круглосуточно;;;Нет;Нет
1508411;ГПОУ ТО Алексинский машиностроительный техникум;Другое;http://aleksin-amt.ru;;Тульская обл., Алексин г., ул. Гремицы, 8а;54.522348;37.035707;+7 (48753) 2-73-06, +7 (48753) 9-12-10;org;пн-пт 8:00-17:00;;;Нет;Нет
1508412;Дикси;Дикси;http://www.dixy.ru;;Тульская обл., округ Алексин, Алексин, ул. Арматурная, 17а;54.5209;37.0454;8 (800) 333-02-01;org;ежедневно, 10:00-22:00;;;Нет;Нет
1508413;Поликлиника 2;Поликлиники;;;Тульская обл., Алексинский р-н, Алексин г., ул. Центральная, 13а;54.518345;37.04946;+7 (48753) 2-30-79, +7 (48753) 2-30-82, +7 (48753) 2-41-69, +7 (48753) 2-41-01;org;;ГУЗ Алексинская районная больница № 1 им. В.Ф. Снегирева;;Нет;Нет
1508414;Пятёрочка;Пятёрочка;http://www.pyaterochka.ru;;Тульская обл., Алексин г., ул. Арматурная, 10;54.520383;37.04504;8 (800) 555-55-05;org;Ежедневно 08:00-23:00;;;Нет;Нет
1508416;Здесь аптека;Аптеки;;;Тульская обл., Алексинский р-н, Алексин г., ул. Арматурная, 12а;54.520018;37.045902;+7 (48753) 23511;org;;;;Нет;Нет
1508417;Московский индустриальный банк, банкомат;Московский индустриальный банк;http://www.minbank.ru;;Тульская обл., Алексин г., ул. Арматурная, 18;54.519593;37.048734;+7 (4872) 34-14-73, 8 (800) 100-74-74;org;;;;Нет;Нет
1508418;Алеф-банк, банкомат;Алеф Банк;http://www.alefbank.ru;;Тульская обл., Алексинский р-н, Алексин г., ул. Центральная, 3;54.517995;37.045831;8 (800) 500-77-47;org;;;;Нет;Нет
1508419;Алексинский Питомник Гавриш;Дача, сад и огород;http://www.pitomniki-gavrish.ru;;Тульская обл., Алексин, ул. Центральная, 2;54.517718;37.044771;+7 (48753) 7-41-98, +7 (905) 113-33-55;org;ежедневно, 8:00-17:00;;;Нет;Нет
1508421;Весельтряндия;Другое;http://www.veselyatyla.com;;Тульская обл., Алексин г., ул. Центральная, 7;54.517875;37.047942;+7 (961) 152-28-16;org;ежедневно, круглосуточно;;;Нет;Нет
1508422;Алексинская аптека;Аптеки;;;Тульская обл., Алексинский р-н, Алексин г., ул. Центральная, 3;54.517995;37.045831;+7 (48753) 24824;org;;;;Нет;Нет
1508423;Кадастр-Гео-Инвест;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Арматурная, 36б, оф. 1;54.520754;37.047888;+7 (48753) 2-88-46;org;;;;Нет;Нет
1508424;Подростковый клуб Современник Тяжпромарматура;"Тренажерные залы; Учреждения культуры";;;Тульская обл., Алексин, ул. Рабочая, 8;54.519364;37.047169;+7 (48753) 4-69-29;org;;;;Нет;Нет
1508425;Роспечать;Роспечать;http://www.rosp.ru;;Тульская обл., Алексин г., ул. Центральная, 10/12, мкр. Горушки;54.517504;37.046936;;org;;;;Нет;Нет
